word,example
"모듈러 주택","청년 주택도 모듈러 주택으로 짓는 방안을 강구하고 있다."
"모드","이 자전거는 아이 성장에 따라 6가지 모드로 바꿔 사용할 수 있다."
"모디피케이션","세계적인 자동차 모디피케이션 업체가 아시아 사업 전선에 뛰어든다."
"모라토리엄","모라토리엄 불명예 벗고 ‘1인당 채무 360원’으로 줄인 도시가 있다."
"모럴 해저드","횡령·배임·주가 조작 등 '모럴 해저드' 관련 사건이 잊을만 하면 등장한다."
"모멘텀","소비 촉진 모멘텀을 최대한 형성해 나갈 것이다."
"모멘트","스키 점프에는 변화의 모멘트가 필요한 데 그것이 바로 평창올림픽이다."
"모바일 ISP","모바일 ISP가 사이버 공격의 첫 번째 희생양이 될 수 있다."
"모바일 뱅킹","모바일 뱅킹에서는 홍채나 얼굴 형태 인식 등 생체 인증도 많이 사용된다."
"모바일 커머스","공영쇼핑은 모바일 커머스에 맞게 차별화된 다양한 상품을 선보인다."
"모빌리티","더 다양하고 편리한 모빌리티 서비스가 일상화된다."
"모빌리티 플랫폼","모빌리티 플랫폼 ㅆ기업이 비수기인 1분기에도 높은 매출 성장세를 달성했다."
"모션","모션 인식 카메라로 역동적인 온라인 수업 촬영을 할 수 있다."
"모션 그래픽","사회적 거리두기, 모션 그래픽으로 알아본다."
"모션 그래픽스","사회적 거리두기, 모션 그래픽스으로 알아본다."
"모션 캡처","모션 캡처 기술을 온라인 요가 수업에 도입한다."
"모션 컨트롤","차세대 모션 컨트롤 산업, 위기와 기회의 시대에 서다."
"모터사이클","모터사이클이 새로운 세계로 데려다준다."
"모터쇼","올해 베이징 모터쇼의 화두는 전기차다."
"모터케이드","육해공 철통 방어 속에 한·아세안 모터케이드 행렬이 이어졌다."
"모토","누구나 신사업창업사관학교의 모토대로 창업의 꿈을 이룰 수 있다."
"모티브","한글·한복을 모티브로 한 평창동계올림픽 메달이 공개됐다."
"모티켓","공공 장소에서 모티켓 지키기는 기본이다."
"모피아","금융 기관 117곳에 모피아가 207명 포진돼 있는 것으로 나타났다."
"몰카","불특정 다수를 대상으로 한 몰카 범죄가 날로 진화하고 있다."
"몸 캠","일반인 몸 캠 대량 유출 사건에 경찰이 조사에 나섰다."
"몸 캠 피싱","기승부리는 몸 캠 피싱 범죄, 사전에 동영상유포협박 차단해야"
"무드","남북 화해 무드를 타고 2007년부터 12년간 만월대 공동 발굴 조사가 진행됐다."
"무드 등","방향 기능에 무드 등까지, 가습기가 똑똑해졌다."
"무드 보드","11월 데뷔를 앞둔 ㅇ그룹이 주제 무드 보드 2장을 공개하며 데뷔에 대한 기대감을 끌어올렸다."
"무라벨","무라벨 생수의 첫 등장 상황은 이랬다."
"무브먼트","그 선수는 제구력과 예리한 무브먼트가 강점이다."
"무비 스타","최고 무비 스타가 대거 총출동해 연말 극장가를 책임진다."
"무비 트레일러","박진감 넘치는 무비 트레일러가 공개돼 화제다."
"무빙워크","인천공항 2터미널, 무빙워크로 빠르게 갈 수 있다."
"무인 데스크","무인 데스크에서 음식 주문을 할 수 있다."
"문화계 블랙리스트","문화계 블랙리스트, 다시는 있어서는 안 된다."
"뮤지션","최근에는 유명 뮤지션들이 온라인 공연으로 관객을 만나고 있다."
"뮤지엄","경기문화재단은 '경기 디자인 축제'에 참가할 뮤지엄 문화 상품을 공모한다."
"뮤지엄 숍","부안청자박물관 뮤지엄 숍이 기존 협소한 공간에서 벗어나 보다 넓은 청자갤러리로 이전, 새롭게 단장해 1일부터 운영에 들어간다."
"뮤지엄 콤플렉스","박물관 주변 일대를 뮤지엄 콤플렉스로 만든다."
"뮤직 아카데미","장애인·비장애 저소득층 대상 ‘뮤직 아카데미’를 운영한다."
"미네랄워터","정선 화암 동굴 미네랄워터로 화장품 만든다."
"미니멀","양보다 질을 중시하는 소비 흐름에 제과 업체들도 미니멀 전략을 펼친다."
"미니멀 라이프","미니멀 라이프의 핵심은 비운만큼 다른 가치 있는 일을 찾아 잘 채우는 것이다."
"미니멀 아트","2천 년 전 숨결 담은 ‘미니멀 아트 명품’ 토기 전시회가 열렸다."
"미니멀리즘","무조건 비우고 버리는 것만이 미니멀리즘은 아니다."
"미니멈 개런티","대기업 유통 업체들이 입점 업체들에게 받는 미니멈 개런티를 낮춰야 한다."
"미니아튀르","터키의 전통 회화인 미니아튀르가 관람객의 시선을 끌고 있다."
"미니어처","최근에는 복고 열풍에 힘입어 자개를 활용한 미니어처가 사랑받고 있다."
"미닝 아웃","미닝 아웃 소비 확산으로 동물 복지 계란·닭 매출이 급증했다."
"미드필드","신인을 대거 영입해 미드필드를 보강했다."
"미들 파워","미국은 한국이 동북아에서 미들 파워 역할을 해야 한다고 밝혔다."
"미들맨","제조 업체와 유통 업체들이 미들맨을 거치지 않고 고객과 만난다."
"미디어","과기부-방통위-공정위가 미디어 생태계 발전을 위해 상호 협력을 강화한다."
"미디어 글라스","충남 천안시는 안전한 보행환경을 위해 미디어 글라스 설치를 완료했다고 밝혔다."
"미디어 데이","프로 당구 8개 팀이 온라인 미디어 데이에서 출사표를 던졌다."
"미디어 리터러시","가짜 뉴스를 선별할 수 있는 미디어 리터러시가 중요하다."
"미디어 믹스","게임 출시에 앞서 만화, 음악, 영상 등 미디어 믹스로 인지도를 확보한다."
"미디어 스크램블","대중 매체의 영역 구분이 없어지는 '미디어 스크램블' 현상이 일어난다."
"미디어 스트리트","전시 장소는 ㅊ지역의 미디어 스트리트다."
"미디어 아트","송파 둘레길에 시민 참여형 미디어 아트를 설치했다."
"미디어 월","ㅆ기업이 모든 방송 스튜디오에 엘이디 미디어 월을 적용한다고 밝혔다."
"미디어 커머스","미디어 커머스가 영상 세대를 사로잡았다."
"미디어 투어","미디어 투어로 '남도맛기행' 갈 수 있다."
"미디어 파사드","진주성 촉석문에 미디어 파사드를 연출해 눈길을 끈다."
"미디어 플레이어","미디어 플레이어에 시각 장애인 위한 기능을 추가했다."
"미러 시트","주택가에 미러 시트를 부착해 여성 안심 거울길을 만든다."
"미션","관광객들이 단순히 둘러보는 것이 아니라 미션을 달성하며 목적지를 찾아간다."
"미스매치","구인 구직 일자리 미스매치를 적극적으로 해소할 계획이다."
"미스매칭","구인 구직 일자리 미스매칭을 적극적으로 해소할 계획이다."
"미스터리","이번에 발표된 신곡은 미스터리하면서도 몽환적인 느낌을 준다."
"미스터리 쇼퍼","서울시 긴급 재난비 불법 매매 적발 위해 미스터리 쇼퍼까지 동원한다."
"미스터리 쇼핑","경기도는 집값 담합을 조사하기 위해 미스터리 쇼핑을 실시했다."
"미스터리 투어","게임형 여행, '미스터리 투어 인 대전'을 운영한다."
"미스테이크","결승전에서는 미스테이크만 없으면 승산이 있다."
"미코노미","미코노미 열풍으로 소비자 맞춤형 제품이 인기를 끈다."
"미팅","학생들은 첫 미팅에서 청소년 문제에 대해 함께 논의했다."
"믹스","청년과 고령자가 믹스된 공공 임대로 공동체 의식을 회복할 기회를 마련한다."
"믹스견","사설 유기 동물 보호소에 있는 대부분은 흔히 말하는 믹스견이었다."
"믹스트 존","경기에 진 북한 선수들이 믹스트 존 인터뷰를 거절했다."
"밀 시트","밀시트로 품질시험을 대체할 수는 없다."
"밀 키트","식품 시장은 밀 키트가 주도한다."
"밀 프렙","가족력을 이기는 식사 원칙과 초간단 밀 프렙 만들기"
"밀랍 백","젊은 층들 사이에서 밀랍 백이 관심을 끌고 있다."
"밀레니얼","군대에도 밀레니얼 세대 장병을 위한 창의적 접근이 필요하다."
"밀레니얼 세대","군대에도 밀레니얼 세대 장병을 위한 창의적 접근이 필요하다."
"밀레니엄","20년 전 모두가 새로운 밀레니엄을 향한 기대와 희망으로 들떠 있었다."
"밀레니엄 베이비","대전시가 밀레니엄 베이비의 '성년의 날'을 축하한다."
"밀리언 셀러","한국 최초의 밀리언 셀러 소설 '인간시장'을 다시 만난다."
"밀리터리 룩","군대리아에 밀리터리 룩까지, 유통가에 군대 열풍이 분다."
"밀리터리 배낭","밀리터리 배낭이 큰 인기를 얻은 적이 있다."
"밀리터리 페스티벌","온 국민이 참여해 즐길 수 있는'밀리터리 페스티벌'을 마련했다."
"밀크플레이션","우윳값 인상과 저출산 기조가 이어지면서 국내 우유 소비는 줄어들고 있는 반면 지난해 우유 수입액은 역대 최대로 나타났다. 지난해 우유 물가 상승률이 14년 만에 최고치를 기록하며 밀크플레이션 부담이 커지자 값싼 수입 우유 수요가 많아진 것으로 풀이된다."
"밋 업","인공 지능 생태계 구축을 위한 1월 정기 밋 업을 연다."
"밋 업 데이","부산혁신센터에서 '강소 기업-청년 일자리 밋 업 데이'를 열었다."
"바겐세일","울산 전통 시장 30곳에서 풍성한 바겐세일 한다."
"바로미터","하반기 동남아 경제 성장의 바로미터는 백신 접종이다."
"바로크 스타일","바로크 스타일로 듣는 비틀스 명곡이 색다르다."
"바리스타","기억다방에서는 경증 치매 어르신들이 바리스타로 일하고 있다."
"바리케이드","주요 길목마다 2ｍ 높이의 철제 바리케이드를 설치하고 검문검색을 강화했다."
"바우처","저소득층 8000명에게 연 35만 원 '평생 교육 바우처' 지원한다."
"바운더리","행복의 바운더리를 넓히는 연습을 계속하는 게 도움이 된다."
"바이 소셜","“세상을 바꾸는 작은 실천, ‘바이 소셜’ 하세요”"
"바이럴","공정한 바이럴 마케팅이 존재하는가?"
"바이럴 마케팅","코로나19 이후 달라진 것 중 하나가 바이럴 마케팅이 늘어난 것이다."
"바이백","탄소 중립 목표 달성을 위해 바이백 서비스를 실시하는 기업이 늘었다."
"바이브레이터","바이브레이터를 이용하여 콘크리트 속 빈 공간을 없앤다."
"바이시클","참가자들은 삼척장호항 등 아름다운 자연 경관을 바이시클로 즐겼다."
"바이어","국내 수산 식품 기업의 상품을 해외 바이어들에게 홍보한다."
"바이오","바이오 의약품 전문 인력 양성 센터를 송도에 짓는다"
"바이오 메디컬","바이오 메디컬 활성 소재를 활용해 사업화를 추진한다."
"바이오 메카닉스","바이오 메카닉스로 선수 신체 특징에 맞는 최적의 기술과 움직임을 파악한다."
"바이오 밸리","충북 제천에 국내 최대 규모의 한방 바이오 밸리를 조성한다."
"바이오 산업","바이오 산업은 경제 성장 촉진을 위한 돌파구가 될 것이다."
"바이오 월","생태 지도·바이오 월 등을 만들어 학생 환경 감수성을 키운다."
"바이오 플라스틱","재생가능한 원재료로 만들어지는 플라스틱인 바이오 플라스틱을 소개한다."
"바이오 플락","바이오 플락 기술 활용해 대하 양식 중간 육성에 성공했다."
"바이오 헬스","시장 경쟁이 치열한 상황에서도 국내 바이오 헬스 기업들의 수출이 증가했다."
"바이오마커","인간의 '눈'에서 알츠하이머 바이오마커가 발견됐다."
"바이오매스","해양 바이오매스의 약 90%는 미생물로 이뤄져 있다"
"바이오시밀러","항체 바이오시밀러가 유럽에서 통했다."
"바이오클러스터","해양 생명 산업을 육성하기 위해 해양 바이오클러스터를 조성하기로 했다."
"바이오테크","주한 덴마크대사관이 유럽 진출을 희망하는 바이오테크 기업을 모집한다."
"바이오필리아","이 '바이오필리아'가 바로 우리가 숲과 조화롭게 교류하고 살아야 할 이유이다."
"바이크","전기 바이크 최대 단점으로 지적되는 긴 충전 시간을 단번에 해결했다."
"바이패스","심혈관계 질환이 생기면 혈관 바이패스 수술이 필요할 수 있다."
"바이패스 도로","이번 사업은 간선도로를 보수하고 바이패스 도로를 신설하는 내용이다."
"바인더","문구점에서 화방 용품, 바인더 외에도 유아 물품과 건축 모형까지 판매한다."
"바인딩","체형에 맞게 스키 바인딩을 조정해야 한다."
"바캉스 룩","본격적인 휴가철을 앞두고 패션 업체들이 ‘바캉스 룩’을 선보이고 있다."
"바코드 리더","약국에서 바코드 리더기로 전자처방전을 추출할 수 있는 시스템을 개발했다."
"박스 아웃","끈끈한 수비와 박스 아웃으로 공격 기반을 만들었다."
"박스 오피스","올해 극장가에서 사랑받은 영화를 박스 오피스 순위로 알아본다."
"박스권","전문가들은 미 대선까지는 박스권을 이어갈 것으로 전망했다."
"발레파킹","이제 로봇이 발레파킹도 한다."
"발리슛","미국 프로축구에서 나온 환상적인 발리슛에 관중들이 환호했다."
"발리킥","환상적인 발리킥으로 역전하며 승리를 거뒀다."
"방카쉬랑스","방카쉬랑스 상품 사전 신고 의무 폐지를 추진한다."
"방화 셔터","학교의 화재 예방을 위해 낡고 오래된 방화 셔터를 보수했다."
"배너","그럴듯한 문구로 소비자를 속이는 배너 광고가 넘쳐나고 있다."
"배리어 프리","장애인도 즐기는 ‘배리어 프리 온라인 공연’, 여전히 넘어야 할 벽 많다."
"배칭 플랜트","콘크리트 공급을 위한 배칭 플랜트를 설치했다."
"백 데이터","백 데이터를 갖고 있어야 기술을 활용할 수 있다."
"백 브리핑","한미일 외교 장관 회의와 관련해 기자들에게 백 브리핑을 했다."
"백그라운드","뉴스 화면 세계지도의 진한 백그라운드 화면에 한국이 가려져 있었다."
"백도어","사이버전의 핵심이 될 ‘무선 백도어 방어 기술’ 나왔다."
"백드롭","여당은 거대 담론 위주로 백드롭을 작성해서 자주 교체하는 편은 아니다."
"백미러","미국에서 운전대·백미러 없는 배달 자율 주행차의 운행을 승인했다."
"백스테이지","긴장감 넘치는 백스테이지를 공개했다."
"백업","기업은 보안을 강화하고 중요 파일을 정기적으로 백업해야 한다."
"백업 파일","기업 내 주요 서버에 보관된 백업 파일까지 안전하게 보호한다."
"백팩","코로나19에 국내 여행 위한 백팩이 인기를 끌고 있다."
"밴사","오프라인 결제 감소에 밴사 상반기 순이익이 감소했다."
"밸런스","청소년 여드름 화장품, 유수분 밸런스 조절이 중요하다."
"밸류 체인","우리나라는 배터리 제조와 활용 등 국내에 완성형 밸류 체인을 갖추고 있다."
"밸류업","정부가 기업 밸류업 프로그램 추진 의지를 강조하는 가운데 대표적 수혜 업종으로 꼽히는 금융주도 강세다."
"밸류에이션","증시 전문가들은 현재 반도체 밸류에이션이 낮은 수준이라고 판단했다."
"밸리","에너지 밸리가 차세대 에너지 신산업의 거점으로 성장하도록 지원한다."
"밸리 효과","올림픽이 끝난 뒤 물가 상승, 경제 성장 둔화 등 밸리 효과가 종종 일어났다."
"뱅크","쏟아지는 신개념 뱅크들이 금융 지도를 바꾼다."
"뱅크 런","물론 연준은 이번 <<뱅크런>>은 개별 은행 문제로 경제 전반의 위기로 확산되지 않을 걸로 판단했을 것이다."
"뱅크데믹","뱅크데믹은 또 온다…느리지만 강하게"
"버드 스트라이크","제주행 아시아나 항공기가 버드 스트라이크로 긴급 회항했다."
"버라이어티","사람과 반려동물의 ‘공동 건강’을 꿈꾸는 건강 버라이어티가 방영된다."
"버블","신도시 분양가의 기준을 버블 가격인 주변 시세에 맞춰 과다 책정되었다."
"버블 맵","버블 맵으로 중심 주제와 관련된 소주제를 적어 나가며 생각의 힘을 키운다."
"버블 세븐","버블 세븐의 불패 신화는 지금도 이어지는 듯하다."
"버스킹","공원에서 펼쳐진 버스킹 공연이 시민들의 눈길을 끌었다."
"버전","수궁가의 2020년 버전인 가족 뮤지컬 ‘토장군을 찾아라’가 공연됐다."
"버즈 마케팅","천만 관객 달성에 크게 기여한 흥행 요소는 바로 버즈 마케팅이다."
"버추얼","버추얼 미술관에서 르네상스 명화 감상한다."
"버추얼 휴먼","제주도 대변인실에 버추얼 휴먼 막내 주무관이 입사했다."
"버킷 리스트","혼자 떠나는 여행은 누구나 한 번쯤 꿈꾸는 버킷 리스트 중 하나다."
"버티컬","거실의 큰 창문에는 버티컬이 어울린다."
"버티포트","특히 도심 항공 교통 상용화에 필수적인 '버티포트' 시장선점을 위해 관련 기술개발에 본격적으로 뛰어들고 있다."
"번들링","정장을 판매할 때 상의와 하의를 함께 판매하는 것도 번들링의 사례다."
"번들플레이션","식품제조업체들은 사실상 직접 생산한 제품을 판매하면서도 상품 포장을 달리하거나 묶음을 달리하는 이른바 '번들플레이션' 방식으로 사실상 가격 인상 효과를 누렸다. 묶음 상품을 낱개 상품보다 비싸게 파는 식이다."
"번아웃","세계보건기구가 2022년부터 번아웃을 질병으로 분류한다고 밝혔다."
"번아웃 증후군","주로 스트레스를 많이 받는 환경에 있는 사람들이 번아웃 증후군을 호소한다."
"번인 현상","유기발광다이오드(OLED)는 번인 현상 때문에 게임용으로 절적하지 않다."
"벌룬","부산 상상나래 축제에서는 음악극과 벌룬쇼, 거리 공연 등이 펼쳐진다."
"벌크","소비자들의 가계 상황이 악화됨에 따라 벌크 제품 판매가 늘어났다."
"벌크 업","배우가 벌크 업 후 이미지 변신에 성공했다."
"벙커링","한국 최초 액화천연가스 벙커링 전용 선박 ‘블루 웨일호’의 선박관리를 개시한다고 16일 밝혔다."
"베그패커","베그패커는 주로 아시아 국가에서 출몰하며, 대부분 서양인이다."
"베드타운","베드타운을 설계해 평일 고정 방문객을 확보한다."
"베이비 부머","베이비 부머의 사회 참여를 늘리기 위해 노인 일자리를 확대한다."
"베이비 샤워","코미디언 ○○○이 동료들이 준비한 베이비 샤워에 감동했다. 22일 ○○○은 “한 달 전 임산부 밥 먹인다고 오라더니 몰래 베이비 샤워를 준비한 △△ 언니, ▲▲, 소영이”라는 글과 함께 여러 장의 사진을 공개했다."
"베이비 스텝","한국은행은 베이비 스텝 인상이 적절하다는 입장을 내놓았다."
"베이비 시트","스웨덴은 국가 예산으로 차량 베이비 시트를 나눠 준다."
"베이비 페어","평일임에도 베이비 페어에는 사람들이 전시장을 가득 메웠다."
"베이비 푸드","맞벌이 세대 증가에 따라 베이비 푸드 소비가 점차 확대되고 있다."
"베이비 플래너","베이비 플래너 자격증을 취득할 수 있는 무료 교육 기회가 제공된다."
"베이비시터","여성인력개발센터가 베이비시터 양성 과정을 신설했다."
"베이스","요즘은 음료를 제조할 때 베이스로 탄산수를 많이 쓴다."
"베이스 콘크리트","베이스 콘크리트 타설 공사 중 일부가 무너졌다."
"베이스 플레이트","베이스 플레이트 하단에 공극이 발생하면 사고가 일어날 수 있다."
"베이스캠프","대표팀은 베이스캠프에서 일찌감치 적응 훈련에 돌입했다."
"베이퍼웨어","2021년에는 영영 베이퍼웨어로 남을 것 같던 게임들이 다수 출시된다."
"베타 버전","베타 버전을 공개해서 오류와 문제점을 파악해 수정하고 홍보도 한다."
"베타 테스트","베타 테스트 이용자는 기간 중 별도 참여 번호 혹은 신청 없이 누구나 참여할 수 있다."
"베팅","해외 베팅 업체는 인터넷과 모바일 기반의 영업망 덕분에 매출이 증가했다."
"베팅 액","일찌감치 베트남의 성공을 확신한 기업들은 베팅 액을 두 배 이상으로 높였다."
"베팅 존","특히 인기가 높은 '고액 베팅 존'엔 점심이 조금 지난 시간부터 절반 이상 인원이 차있었다."
"벤더","농민들은 벤더에게 낮은 가격으로 농산물을 납품할 수밖에 없다."
"벤더 페어","서울 종로구에서 벤터 페어를 개최했다."
"벤처 캐피털","국내 첫 농산업 전문 벤처 캐피털이 출범했다."
"벤치 클리어링","양 팀 선수들 일부가 나와 벤치 클리어링 직전까지 가는 상황이 벌어졌다."
"벤치마크","국민연금이 국내 주식 직접 운용 부문 벤치마크를 확대한다."
"벤치마킹","우리 생활 속 거리두기가 다른 나라의 벤치마킹 대상이 될 것이다."
"벤치워머","그는 벤치워머임에도 팀의 승리를 위해 끝까지 후배들을 독려했다."
"벨보이","숙박객들의 짐을 대신 옮기는 벨보이 로봇도 등장했다."
"보디 카피","보디 카피에는 기승전결과 공감대를 만들 만한 내용이 있어야 한다."
"보디 캠","보디 캠이 증거 확보와 안전 보장에 도움이 된다는 의견이 많다."
"보디 케어","현대인들의 건강과 보디 케어에 대한 관심이 나날이 커지고 있다."
"보디 포지티브","보디 포지티브가 내 몸을 사랑하는 또 다른 방법으로 떠올랐다."
"보디가드","우리 몸에는 보디가드와 같은 역할을 하는 면역세포가 있다."
"보디라인","활력과 건강미 넘치는 보디라인을 유지하려면 단백질 위주의 식단이 필수다."
"보디프로필","특히 바디프로필을 비롯한 자신의 신체 사진을 공유하는 사람들도 다수다."
"보스","악명이 자자하던 게임의 최종 보스를 단번에 쓰러뜨렸다."
"보어 아웃","직장인 5명 중 2명은 보어 아웃을 경험한 것으로 나타났다."
"보이스","사용자의 목소리로 인공 지능 보이스를 만든다."
"보이스 리코더","예전에는 기자들이 수첩과 보이스 리코더를 가지고 다녀야 했다."
"보이스피싱","보이스피싱은 언제, 어디서, 누구에게나 찾아올 수 있다."
"보이시 룩","초여름, 보이시 룩이 뜬다."
"보이콧","택배 노조가 전국 아파트를 대상으로 하는 배송 보이콧 투쟁을 진행했다."
"보컬 마스터","우리나라를 대표하는 보컬 마스터들의 특별 공연이 열린다."
"보컬리스트","독특한 두 보컬리스트의 만남에 관심이 집중됐다."
"보텀업","지역이 주도하는 보텀업 방식으로 국가 균형 발전을 이뤄야 한다."
"보틀","음료 시장에서 기존 보틀의 틀을 벗어난 이색적인 디자인이 인기다."
"보틀넥","전기차 대중화를 막는 보틀넥을 해결하려면 주행 거리와 충전 속도를 개선해야 한다."
"본드 런","일각에선 ‘<<본드런>>’ 가능성까지 제기된다."
"볼라드","태풍에 대비해 볼라드, 안전 난간, 인명구조함 등 안전 시설물을 점검했다."
"볼런티어","난민의 바다에 뛰어든 세계의 볼런티어들이 있다."
"부비 트랩","전역 군인 유품서 부비 트랩 등 무기가 대량 발견되었다."
"부스","박람회에 온 관람객들이 강아지 용품 부스를 둘러보았다."
"부스터 숏","정부는 부스터 숏 접종 시행 여부를 검토 중이다."
"부킹","요즘 웬만한 골프장들은 평일에도 부킹이 쉽지 않다."
"부트캠프","부트캠프 과정을 마치면 기본기를 갖추고 바로 실무에 투입될 수 있다."
"부티크 와인","국내 부티크 와인의 신화를 쓰다."
"북 드라이브 스루","도서관 주차장에는 북 드라이브 스루를 하려는 시민들이 줄을 이었다."
"북 디자인","이 책에는 기획부터 인쇄까지 북 디자인의 모든 것을 담았다."
"북 마스터","북 마스터가 추천하는 이 주의 책을 알아보자."
"북 섹션","언론사의 북 섹션에서 소개한 책으로 독서를 시작해도 좋다."
"북 아트","여름방학을 맞아 초등학생 대상 '창의력 쏙쏙! 북 아트' 수업을 연다."
"북 카페","창고 등을 활용해 만든 북 카페가 마을 사랑방 역할을 톡톡히 하고 있다."
"북 코칭","북 코칭 전문가가 책 잘 읽는 이야기를 들려준다."
"북 콘서트","안산시는 세월호 참사 구술 증언록 ‘그날을 말하다’ 북 콘서트를 열었다."
"북 큐레이션","ㅇ도서관이 북 큐레이션으로 시민들의 독서 흥미를 돕는다."
"북 테라피","주요 프로그램은 북 테라피와 사회적응훈련 등이다."
"북 토크","고양시는 네 명의 작가를 초대해 북 토크를 열었다."
"북 트레일러","국립장애인도서관은 '2024년 국립장애인도서관 배리어프리 북 트레일러공모전' 대상에 여민서 씨의 '잠시, 쉬었다 가도 괜찮아'를 선정했다고 2일 밝혔다. 북 트레일러 공모전은 도서관 누리집에 게시된 장애 분야 신간 도서 10종 중 1권을 선택해 음성·자막·수어 등 장애인 접근성 기능을 추가해 제작한 영상 공모전이다."
"북 페어","온라인 북 페어는 즐기기는 편했지만 현장감이 떨어져 아쉬웠다."
"북마크","온라인 전시회에서는 작품을 북마크해서 소장하고 언제든지 감상할 수 있다."
"북캉스","혼자만의 시간을 가지며 편안한 분위기에서 조용히 책에 집중할 수 있어 ‘북캉스’를 원하는 고객에게 안성맞춤이다."
"북클럽","책을 접하기 힘든 취약 계층 어린이들을 위한 북클럽을 만들었다."
"북텔러","여름방학 특별 강좌로 '북텔러가 읽어주는 성 평등 동화'를 운영한다."
"불 마켓","금융 투자 환경이 바뀌지 않는다면 불 마켓은 당분간 이어질 것이다."
"붐 업","정부는 침체된 소비를 붐 업시킬 수 있는 다양한 대책을 마련했다."
"뷰잉 파티","발로란트 마스터스가 진행되는 모든 기간 동안 뷰잉 파티를 연 것은 발로란트 이스포츠 역사상 최초다."
"뷰티","대구시는 지역의 뷰티 산업을 선도해 나갈 유망 기업을 발굴해 지원한다."
"뷰티 살롱","어린이 전용 뷰티 살롱이 인기다."
"뷰티 엑스포","중국 베이징에서 뷰티 엑스포가 열렸다."
"뷰티 케어","환절기 뷰티 케어 방법을 소개한다."
"뷰티 테크","국내 뷰티 테크 업체들도 잇따라 홈 디바이스 제품을 출시하며 시장 공략에 나섰다."
"뷰파인더","뷰파인더로 바라본 제주 곳곳의 풍경이 아름답다."
"브라운","가을에는 브라운 계열의 옷이 잘 어울린다."
"브라운 백 미팅","브라운 백 미팅을 열어 직원 간 소통과 업무 역량 강화에 앞장서고 있다."
"브라운필드 투자","정부는 해외기업이 인수합병을 통해 국내에 들어오는 브라운필드 투자에 대해 사전심사를 한다."
"브라이덜 샤워","현숙은 28일 개인 채널을 통해‘나는 솔로’17기 남녀 11명이 함께 모여서 즐긴 브라이덜 샤워 현장 사진을 공개했다. 사진에는 사랑의 작대기가 엇갈렸던 멤버들까지 빠짐없이 함께한 모습이라 눈길을 끌었다."
"브랜드 숍","그곳에는 유명 브랜드 숍들과 유럽풍 노천 카페가 줄지어 있다."
"브랜드 아이덴티티","기업의 브랜드 아이덴티티를 잘 지키는 것이 중요하다."
"브랜드 파워","브랜드 파워를 내세운 대형 건설사 아파트들의 인기가 여전하다."
"브런치","집에서 이탈리아식 브런치를 즐긴다."
"브런치 콘서트","5월부터 11월까지 매달 마지막 화요일 브런치 콘서트가 진행된다."
"브레이슬릿","세상에 하나뿐인 나만의 브레이슬릿을 만들 수 있다."
"브레이크 타임","최근 용인의 한 경기장에서 열린 대한민국과 중국의 축구 경기에서 폭염으로 인해 브레이크 타임이 있었다."
"브레인","우주 정책 센터는 국가 우주 정책 분야의 브레인 역할을 한다."
"브레인 포그","코로나19를 앓은 후 5개월 뒤에도 브레인 포그 후유증이 나타났다."
"브레인스토밍","경제 활성화 사업을 발굴하기 위해 브레인스토밍을 실시했다."
"브렉시트","영국 기업들은 브렉시트의 영향으로 주가가 낮아지기도 했다."
"브로슈어","여수의 10개 섬을 홍보하는 관광 브로슈어를 제작했다."
"브로커","갈수록 악화하는 채권 브로커 시장에 반값 수수료도 등장했다."
"브론즈","소녀상은 높이 155cm에 브론즈 재질로 만들어졌다."
"브리지","반도체 소재·부품 국산화의 브리지 역할을 할 것이다."
"브리프","산업안전보건원, '산재예방 연구브리프' 1호 발간"
"브리핑","정부는 정례 브리핑에서 예방 접종 실시 계획을 발표했다."
"브리핑 룸","경제 관계 장관들이 브리핑 룸에 들어섰다."
"브이로그","신입 사원들의 일상을 담은 브이로그가 큰 인기를 끌고 있다."
"브이패스","브이패스 불량으로 실종 어선 수색 작업에 어려움을 겪었다."
"블라인드","학력, 나이, 성별 등을 공개하지 않는 블라인드 방식의 채용이 늘었다."
"블라인드 채용","차별과 편견 없이 직무 능력 중심의 블라인드 채용을 진행해야 한다."
"블라인드 테스트","블라인드 테스트 결과 한국 맥주가 맛없다는 건 편견이라는 것이 밝혀졌다."
"블라인드 트러스트","블라인드 트러스트는 제3자에게 재산 관리를 맡기는 것을 뜻한다."
"블라인드 티켓","블라인드 티켓이 사흘 만에 매진되었다."
"블라인드 펀드","투자자들이 블라인드 펀드의 투자 대상을 높고 협의를 할 수는 있다."
"블랙 라벨","먼저 행사 카드로 결제 시 '당도 선별 수박'은 각 4,000원을 할인받을 수 있다. '성주 참외'와 '블랙 라벨오렌지', '대추 방울토마토', '항공 직송 체리'도 할인 판매한다."
"블랙 먼데이","세계 증시에 드리운 블랙 먼데이로 국제 유가도 폭락했다."
"블랙 스완","최근 중동은 전쟁 위기가 고조되고 있다. 이스라엘과 하마스 간 전쟁이 레바논 헤즈볼라로 번진 데 이어 이란과의 전쟁 위험으로 발전 중이다. 중동은 세계 에너지와 물류 공급망에서 중요한 역할을 담당하는 만큼 글로벌 경제의 블랙 스완이 될 가능성이 크다."
"블랙 아이스","겨울에는 블랙 아이스가 생기는 곳이 많아 운전자들이 조심해야 한다."
